time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,rain_sum,precipitation_hours,wind_speed_10m_max,shortwave_radiation_sum,year,month,day
2023-01-01,21.1,5.9,12.8,0.0,0.0,15.5,17.52,2023,1,1
2023-01-02,21.3,5.9,13.4,0.0,0.0,22.0,17.36,2023,1,2
2023-01-03,23.0,5.8,14.7,0.1,1.0,10.4,18.6,2023,1,3
2023-01-04,22.9,6.7,14.3,0.0,0.0,18.8,20.03,2023,1,4
2023-01-05,22.0,7.7,14.2,0.3,3.0,20.5,19.44,2023,1,5
2023-01-06,21.6,8.0,13.7,0.0,0.0,12.7,19.97,2023,1,6
2023-01-07,22.0,5.9,13.6,0.0,0.0,11.7,20.34,2023,1,7
2023-01-08,22.2,7.2,13.9,0.0,0.0,14.5,20.6,2023,1,8
2023-01-09,21.2,6.9,13.5,0.0,0.0,14.0,18.69,2023,1,9
2023-01-10,20.0,7.9,13.6,0.0,0.0,18.3,17.38,2023,1,10
2023-01-11,20.4,5.5,12.7,0.0,0.0,14.6,17.94,2023,1,11
2023-01-12,21.5,6.4,13.6,0.0,0.0,21.7,19.04,2023,1,12
2023-01-13,20.6,8.9,13.2,0.7,4.0,22.7,18.14,2023,1,13
2023-01-14,20.9,2.5,11.3,0.0,0.0,9.7,20.99,2023,1,14
2023-01-15,21.3,4.1,12.5,0.0,0.0,17.9,21.04,2023,1,15
2023-01-16,23.7,4.4,13.4,0.0,0.0,15.0,21.29,2023,1,16
2023-01-17,24.4,8.4,15.0,0.0,0.0,22.7,20.94,2023,1,17
2023-01-18,25.0,5.2,15.2,0.0,0.0,15.3,20.42,2023,1,18
2023-01-19,25.7,8.5,16.6,0.0,0.0,18.8,20.43,2023,1,19
2023-01-20,25.3,6.9,15.1,0.0,0.0,14.5,20.66,2023,1,20
2023-01-21,24.2,7.5,15.4,0.0,0.0,16.4,20.8,2023,1,21
2023-01-22,23.8,6.9,14.5,0.0,0.0,15.9,20.97,2023,1,22
2023-01-23,23.7,5.2,14.0,0.0,0.0,21.9,21.6,2023,1,23
2023-01-24,24.8,4.6,14.8,0.0,0.0,12.3,21.84,2023,1,24
2023-01-25,24.1,7.6,14.7,0.0,0.0,25.7,21.54,2023,1,25
2023-01-26,22.7,5.5,13.6,0.0,0.0,20.6,20.43,2023,1,26
2023-01-27,22.8,3.2,12.1,0.0,0.0,15.5,22.04,2023,1,27
2023-01-28,23.9,5.0,13.9,0.0,0.0,16.2,21.1,2023,1,28
2023-01-29,24.6,9.9,16.6,0.0,0.0,12.3,21.64,2023,1,29
2023-01-30,25.7,9.4,17.6,0.0,0.0,12.7,22.11,2023,1,30
2023-01-31,26.1,7.8,16.6,0.0,0.0,14.6,22.68,2023,1,31
2024-01-01,21.9,7.3,13.6,0.0,0.0,14.5,20.08,2024,1,1
2024-01-02,22.9,5.7,14.0,0.0,0.0,19.0,17.65,2024,1,2
2024-01-03,24.0,8.1,14.7,0.0,0.0,20.9,19.21,2024,1,3
2024-01-04,24.8,3.7,13.4,0.0,0.0,18.9,20.21,2024,1,4
2024-01-05,23.0,4.4,13.5,0.0,0.0,21.1,20.09,2024,1,5
2024-01-06,24.3,3.9,13.8,0.0,0.0,12.0,20.24,2024,1,6
2024-01-07,23.2,8.3,14.5,0.0,0.0,13.7,14.5,2024,1,7
2024-01-08,24.0,7.8,15.2,0.0,0.0,22.0,16.9,2024,1,8
2024-01-09,23.5,6.2,13.9,0.0,0.0,17.1,18.0,2024,1,9
2024-01-10,25.0,4.5,14.2,0.0,0.0,15.3,19.34,2024,1,10
2024-01-11,26.0,5.0,14.8,0.0,0.0,21.9,19.1,2024,1,11
2024-01-12,27.7,5.6,15.8,0.0,0.0,18.4,20.48,2024,1,12
2024-01-13,25.6,6.1,15.8,0.0,0.0,12.4,14.31,2024,1,13
2024-01-14,25.1,8.4,15.9,0.0,0.0,17.4,16.61,2024,1,14
2024-01-15,26.4,5.9,16.0,0.0,0.0,12.6,20.96,2024,1,15
2024-01-16,26.4,9.7,16.9,0.0,0.0,18.7,20.07,2024,1,16
2024-01-17,25.5,8.6,16.2,0.0,0.0,17.4,18.33,2024,1,17
2024-01-18,25.1,11.7,17.8,0.0,0.0,18.0,19.28,2024,1,18
2024-01-19,23.3,12.3,17.4,0.0,0.0,18.8,12.67,2024,1,19
2024-01-20,17.8,8.9,13.3,0.0,0.0,11.7,9.18,2024,1,20
2024-01-21,19.4,8.6,14.1,1.2,2.0,22.9,12.41,2024,1,21
2024-01-22,22.5,4.8,13.1,0.0,0.0,15.6,18.25,2024,1,22
2024-01-23,23.8,5.4,14.1,0.0,0.0,17.4,19.71,2024,1,23
2024-01-24,24.7,5.5,14.8,0.0,0.0,25.3,21.34,2024,1,24
2024-01-25,25.7,4.9,14.4,0.0,0.0,24.3,21.08,2024,1,25
2024-01-26,25.6,5.0,14.7,0.0,0.0,20.0,21.29,2024,1,26
2024-01-27,25.1,5.8,14.8,0.0,0.0,20.4,22.33,2024,1,27
2024-01-28,23.0,9.4,14.8,0.0,0.0,19.7,18.24,2024,1,28
2024-01-29,21.7,7.3,13.9,0.0,0.0,12.8,15.32,2024,1,29
2024-01-30,21.3,7.6,14.5,0.0,0.0,21.1,12.78,2024,1,30
2024-01-31,22.2,10.4,15.9,0.1,1.0,11.7,12.24,2024,1,31
2025-01-01,23.0,7.3,15.2,0.0,0.0,11.5,19.25,2025,1,1
2025-01-02,21.9,8.8,14.8,0.0,0.0,13.4,19.8,2025,1,2
2025-01-03,21.2,8.9,14.3,0.0,0.0,14.3,19.24,2025,1,3
2025-01-04,20.6,10.7,14.9,0.0,0.0,10.7,17.15,2025,1,4
2025-01-05,20.7,8.3,14.2,0.0,0.0,11.3,14.26,2025,1,5
2025-01-06,18.3,8.3,13.4,0.0,0.0,6.8,12.06,2025,1,6
2025-01-07,22.6,8.2,14.6,0.1,1.0,10.1,16.64,2025,1,7
2025-01-08,22.0,7.9,14.3,0.1,1.0,12.2,17.98,2025,1,8
2025-01-09,22.1,7.4,15.0,0.0,0.0,14.8,18.63,2025,1,9
2025-01-10,22.0,10.4,15.7,1.6,3.0,15.7,16.9,2025,1,10
2025-01-11,19.5,10.8,14.7,1.0,7.0,14.8,13.51,2025,1,11
2025-01-12,20.1,10.4,14.1,0.1,1.0,13.4,11.61,2025,1,12
2025-01-13,22.3,6.7,13.3,0.0,0.0,12.3,20.24,2025,1,13
2025-01-14,21.5,5.9,13.5,0.0,0.0,8.7,18.22,2025,1,14
2025-01-15,22.9,7.3,14.8,0.0,0.0,12.6,18.98,2025,1,15
2025-01-16,23.6,9.7,16.4,0.0,0.0,9.0,19.89,2025,1,16
2025-01-17,23.7,9.3,16.4,0.0,0.0,7.8,19.11,2025,1,17
