temperature_2m_max,temperature_2m_min,temperature_2m_mean,rain_sum,precipitation_hours,wind_speed_10m_max,shortwave_radiation_sum,year,month,day,id
24.1,6.5,15.7,0.0,0.0,20.9,19.38,2020,1,1,"9168bd33-246f-4426-a1e6-35f9c6ddc83b"
21.0,11.2,15.5,0.0,0.0,22.5,18.14,2020,1,2,"24fc0826-4335-4657-bfb3-8781608262cc"
23.4,7.9,14.9,0.0,0.0,20.4,18.75,2020,1,3,"5fed7e99-8607-4d78-843c-943bcb6b33f7"
18.8,5.9,10.9,0.0,0.0,15.6,18.39,2020,1,4,"dbad9c2c-51f0-4744-86d1-aa5ee7d68377"
22.1,2.7,11.5,0.0,0.0,12.4,19.98,2020,1,5,"6cdb82d2-b37a-4775-958d-5115c331c6cc"
24.4,3.7,13.7,0.0,0.0,16.5,20.23,2020,1,6,"32043350-5009-4f7c-9db6-c91a5ffd0839"
20.8,7.6,14.1,0.0,0.0,20.5,20.44,2020,1,7,"f051dae0-950f-4d1c-b597-094daccf91fe"
22.3,5.2,12.6,0.0,0.0,16.6,19.77,2020,1,8,"77c179e3-d7ee-45b4-9595-7fa1963d2017"
24.0,6.1,14.2,0.0,0.0,16.2,20.07,2020,1,9,"6c7f57c4-d9c2-4f30-8ac1-6fcc783f5f2d"
24.5,4.7,14.4,0.0,0.0,21.3,20.63,2020,1,10,"0707117c-f3cd-462a-947f-454a91860b8c"
24.0,6.9,15.0,0.0,0.0,13.9,20.26,2020,1,11,"3141c0fc-932e-4424-98a4-3da599923daa"
24.4,5.5,14.5,0.0,0.0,13.3,20.12,2020,1,12,"0214deaa-e651-4465-940a-b597fa522c9e"
23.9,9.3,15.9,0.0,0.0,15.5,19.97,2020,1,13,"55eb05a7-54b9-43bc-9121-6d2fc064644b"
24.4,7.9,15.9,0.0,0.0,17.1,20.01,2020,1,14,"05e38129-99ea-4a3b-8277-a7caaad94b53"
24.1,10.6,16.4,0.0,0.0,14.3,17.45,2020,1,15,"d0bd273b-9b79-4c7c-9744-0c0ec1fbe46a"
22.8,12.1,16.3,1.4,7.0,21.9,16.63,2020,1,16,"83fc51c0-58e9-46b4-a72b-d7331389a360"
23.4,8.8,15.3,0.0,0.0,18.9,18.95,2020,1,17,"b5985bf2-9aac-4f5c-a377-430bc0cabf30"
22.1,9.5,15.3,1.3,4.0,18.5,16.88,2020,1,18,"6908194b-9318-4cc2-a708-0d821fb54f3f"
18.1,11.5,13.8,3.3,12.0,18.1,10.47,2020,1,19,"d9c8e1d8-9a88-46ef-b091-0d6fa44df4a7"
17.1,8.0,12.2,1.9,4.0,15.1,12.37,2020,1,20,"682f18b5-7539-4a59-8584-defc8950b7cd"
17.3,4.3,10.1,0.0,0.0,11.8,17.56,2020,1,21,"59d5dfc0-3982-4f9e-bd64-79257143ea95"
21.2,4.4,12.6,0.0,0.0,20.7,20.76,2020,1,22,"a91fa402-5359-408d-a47c-c3a7cefca2bb"
19.6,5.2,12.5,0.0,0.0,16.7,14.58,2020,1,23,"a764819a-1cbe-4c73-9929-eb831a71cdb7"
19.5,10.1,13.9,0.1,1.0,13.9,15.16,2020,1,24,"9dbaaabf-74e7-41c0-acdd-63f0b077033e"
22.0,6.4,14.0,0.0,0.0,18.9,18.91,2020,1,25,"e4e7ef5e-6b05-4f90-8e1a-fb548d5d9a78"
21.4,5.7,13.9,0.0,0.0,14.8,18.34,2020,1,26,"f2366f51-f521-479f-ab1c-77b477af872a"
24.0,7.4,15.1,0.0,0.0,15.9,21.75,2020,1,27,"21f83fd5-2a75-4cca-b55f-2e14f3ba6e63"
23.1,1.4,13.0,0.0,0.0,18.0,21.99,2020,1,28,"dbb6c5b3-f471-4910-81e6-fb6f33adf8b1"
23.3,5.5,13.8,0.0,0.0,24.8,22.09,2020,1,29,"6ac052dc-f2fe-461f-a767-cfa36e000924"
22.2,6.5,14.9,0.0,0.0,22.4,20.32,2020,1,30,"34935a88-c1bd-40c6-898a-ce7f11e3d69a"
22.6,7.3,14.8,0.1,1.0,21.0,18.14,2020,1,31,"096b2529-62b1-478c-99ef-31e29717bffe"
28.1,9.8,18.9,0.0,0.0,20.6,23.97,2020,3,1,"c671464d-8dfe-4522-a6b6-c3ce9f115034"
27.9,13.1,19.9,0.0,0.0,22.9,22.01,2020,3,2,"e7d0a8c2-a834-41ee-bf02-bcc9f8a69619"
26.4,9.5,18.7,0.0,0.0,24.2,25.93,2020,3,3,"47c35f48-b401-4207-b78d-1c0c98477cb4"
28.0,7.5,18.2,0.0,0.0,22.9,26.24,2020,3,4,"24b2e8c4-68c8-47d9-8e2d-54edd08f3df3"
27.9,10.9,18.0,0.0,0.0,22.3,24.38,2020,3,5,"3fede17a-2a3c-473c-89ce-a4a53e798253"
23.9,7.5,13.7,0.1,1.0,23.1,21.27,2020,3,6,"aac4747e-0aff-4471-82c4-cc02cebb10ce"
25.4,5.6,14.3,0.0,0.0,19.2,23.98,2020,3,7,"d379a9d4-baad-4174-90ef-69ce2e2ec462"
26.3,7.9,16.3,0.0,0.0,22.5,25.61,2020,3,8,"e8f90e33-dcaa-468b-afd1-7ca657c556ae"
27.2,7.9,17.8,0.0,0.0,21.6,25.42,2020,3,9,"590f8c06-9b2f-4bba-926a-fd1ffbd72c60"
27.2,10.0,18.1,0.1,1.0,21.6,23.93,2020,3,10,"090d2b94-f47d-4e5b-8768-38f661763e96"
26.4,11.9,18.7,0.0,0.0,17.4,22.09,2020,3,11,"196e7273-e0b5-4ee8-b951-a706934dbd4b"
27.6,11.7,20.2,0.0,0.0,18.1,23.48,2020,3,12,"7308f58f-4c30-4ab1-a9f9-7076d2630acc"
27.7,11.6,20.3,0.3,1.0,16.1,21.73,2020,3,13,"15528a89-3a47-45be-92e4-ce1470bdf20a"
28.2,14.0,20.6,0.1,1.0,24.0,23.4,2020,3,14,"44282a16-214c-4d6d-9a09-0a07dd4680df"
27.4,12.1,19.9,1.3,1.0,20.6,23.23,2020,3,15,"a692afe1-4fae-4f8d-9499-f67f33ab4920"
25.2,13.3,17.2,2.8,3.0,16.9,19.44,2020,3,16,"e0023806-af09-42fd-8975-62c756b83a7f"
24.9,10.8,18.0,0.1,1.0,15.3,24.46,2020,3,17,"b5b54660-64d6-493c-be46-4323d9acb7a8"
25.5,10.8,18.6,0.1,1.0,13.8,21.94,2020,3,18,"15580f66-9a12-48f8-b1cc-217d9e7f39d7"
28.4,12.3,20.3,0.6,3.0,23.8,24.13,2020,3,19,"b2f4f517-e740-4f92-be51-fc450067329b"
28.1,13.3,20.6,0.2,2.0,22.1,24.7,2020,3,20,"e0fee2b3-2a95-4d94-acae-5db8ffcda2a3"
25.1,14.1,18.8,1.8,7.0,14.3,21.71,2020,3,21,"3364cffd-3be0-48d1-a767-aeece57e5494"
27.8,10.9,19.2,0.0,0.0,13.8,26.59,2020,3,22,"60ea75c0-18f8-47a0-a37e-5805adf7624d"
28.8,11.0,19.9,0.0,0.0,17.1,28.59,2020,3,23,"2d94c000-22c4-4d3f-b995-e9acca25722c"
30.7,13.3,21.8,0.0,0.0,13.2,28.8,2020,3,24,"fff2176c-49f1-43d4-862c-0ece9d7c7e29"
31.0,11.3,21.8,0.0,0.0,21.0,28.55,2020,3,25,"33afe26b-03a6-44d6-baf6-9e9ff8a3061b"
31.4,11.2,21.3,0.0,0.0,21.2,28.84,2020,3,26,"727f4c30-8483-4aba-82ef-64a21481ea0c"
31.1,10.5,21.0,0.0,0.0,25.2,29.06,2020,3,27,"676650e8-7b50-4f97-8f40-9a8e4b3f7db3"
30.4,12.6,21.0,0.0,0.0,21.7,28.18,2020,3,28,"5d81a38c-3e7b-4c51-906a-1c452ad05199"
30.0,12.3,20.7,0.0,0.0,22.2,28.55,2020,3,29,"e39f7204-7396-4374-947a-ec7628186404"
29.6,11.5,20.8,0.0,0.0,20.8,28.53,2020,3,30,"917a7def-8e08-4e63-851b-299dbdd2a366"
28.9,14.1,21.3,0.0,0.0,23.0,28.76,2020,3,31,"db87bdc7-e1f3-479d-866b-dc4c09e32f66"
24.4,10.0,16.5,1.0,4.0,28.7,24.33,2020,5,1,"31c5ee17-926a-46df-a098-b7d16d906ec3"
26.2,8.1,18.2,0.0,0.0,24.3,27.74,2020,5,2,"bc0db556-c519-4e91-b32c-275ce179d4f6"
28.9,10.2,20.2,0.0,0.0,23.4,30.01,2020,5,3,"19f39eef-e5ab-4004-98d6-c749045c7e2b"
30.1,12.3,22.0,0.1,1.0,15.1,27.26,2020,5,4,"c7e79675-ca2a-483b-af96-9ee13731e377"
28.8,15.8,20.8,2.6,4.0,24.7,24.66,2020,5,5,"63ae8293-ffc9-49c2-b7ca-79bda558e19a"
25.6,13.4,18.4,5.0,10.0,23.5,24.97,2020,5,6,"df49429a-4f9d-459c-81f2-f176d88cc7bc"
21.5,12.8,16.3,0.6,2.0,19.1,20.59,2020,5,7,"3680e937-bbdc-4d24-85c4-7b466f7ebbfc"
23.5,8.6,16.8,0.9,4.0,9.9,24.94,2020,5,8,"0ec9fbab-8197-4375-912d-e37c7b3688d7"
22.2,11.6,16.3,1.7,7.0,16.2,21.99,2020,5,9,"8978991f-da91-411b-95e6-1587b92b0778"
23.7,12.2,17.1,1.8,4.0,16.6,24.14,2020,5,10,"e112fe71-9ce1-475e-b8f0-e0da9382312d"
23.0,11.0,16.7,0.3,3.0,17.7,20.48,2020,5,11,"8aac8c3e-68b8-433c-bd54-9cd24d451db4"
25.5,10.0,18.6,0.2,2.0,23.6,25.05,2020,5,12,"55950fef-643d-4ce0-93ee-40bcb9632c7b"
27.3,11.2,19.6,0.0,0.0,18.5,24.29,2020,5,13,"9cea8d42-c9f8-4a6c-8ce0-0ba1abe41ca4"
26.6,12.3,20.5,0.0,0.0,17.2,24.86,2020,5,14,"366f67ca-6a62-4aff-a9e2-64cc1ed45573"
28.5,11.5,20.6,0.0,0.0,20.7,22.17,2020,5,15,"c48a6bca-8a3b-4f20-8d99-ac2bd23f07c7"
28.0,10.4,20.2,0.0,0.0,23.1,26.61,2020,5,16,"55f4c94d-9e8c-464a-b615-8c1fd30b9b63"
28.6,10.6,20.4,0.0,0.0,21.2,25.97,2020,5,17,"c959cc94-f1ef-43e7-83a4-8c3bbdb323fc"
28.0,12.3,21.0,0.2,1.0,16.8,25.42,2020,5,18,"f6202f90-9439-4130-8b2d-cb61af837f02"
28.9,12.1,21.5,0.0,0.0,11.5,25.67,2020,5,19,"68b0b15d-dcf1-4ef2-8459-a4d7ef578ae9"
28.2,15.6,21.9,0.0,0.0,21.0,23.98,2020,5,20,"d5a8957d-bdbc-4782-9aa4-f6577805af3c"
28.9,13.7,21.3,0.1,1.0,23.3,25.02,2020,5,21,"341efd13-4255-4e81-a56e-86bd7cadf0c0"
28.4,13.1,21.2,0.0,0.0,17.9,26.07,2020,5,22,"593cc9ac-6008-4a6b-8278-41a93ae87912"
29.4,12.2,21.5,0.0,0.0,25.3,25.98,2020,5,23,"db236fbb-7950-4858-ae4a-560337dd71cd"
28.8,15.2,21.9,0.0,0.0,24.5,26.28,2020,5,24,"a73db6cc-b51c-4857-8d41-9eaa8c0937ea"
29.4,11.0,21.7,0.0,0.0,25.8,29.71,2020,5,25,"4d8e75a0-e9bd-4f18-9ee6-f801249c423b"
30.6,10.8,22.0,0.0,0.0,28.9,30.32,2020,5,26,"eb1ec1a9-ef67-4a31-978b-a1debc4b961b"
29.5,13.1,21.6,0.2,1.0,21.9,25.34,2020,5,27,"f2805d37-fb5e-4def-be9f-45af336c2945"
27.4,13.0,19.7,2.9,4.0,24.3,23.31,2020,5,28,"59c92acc-4f43-4dac-a7a2-2c4c3aaad225"
25.9,11.7,18.3,0.5,3.0,24.7,23.97,2020,5,29,"934de9c8-e48a-426d-89c7-d93b96e2ba7e"
25.1,11.1,17.2,0.1,1.0,18.7,24.6,2020,5,30,"949151d5-9677-4592-a042-980cec6b97fd"
23.8,11.5,17.1,8.3,5.0,14.0,20.88,2020,5,31,"82926af8-25c9-49b7-bb40-444fd42edb7f"
